map,player,movement_counter_strafe_frequency,movement_avg_velocity,movement_max_velocity,movement_movement_smoothness,movement_avg_peek_distance_per_round,movement_max_peek_distance_per_round,movement_total_peek_events_per_round,movement_movement_distance_per_round,movement_position_variance_per_round,positioning_map_coverage_per_round,positioning_ct_tunnels,positioning_ct_bombsitea,positioning_ct_longdog,positioning_ct_dumpster,positioning_ct_bombsiteb,positioning_ct_backofb,positioning_ct_ctspawn,positioning_ct_tmain,positioning_ct_ivy,positioning_ct_entrance,positioning_ct_electricalbox,positioning_ct_alley,positioning_ct_tspawn,positioning_ct_connector,positioning_t_tunnels,positioning_t_bombsitea,positioning_t_longdog,positioning_t_dumpster,positioning_t_tsideupper,positioning_t_bombsiteb,positioning_t_tstairs,positioning_t_backofb,positioning_t_ctspawn,positioning_t_tmain,positioning_t_ivy,positioning_t_electricalbox,positioning_t_entrance,positioning_t_alley,positioning_t_tspawn,positioning_t_connector,positioning_ct_coverage,positioning_t_coverage,combat_kills_per_round,combat_total_kills,combat_weapon_diversity,combat_headshot_ratio,combat_multi_kill_rounds,combat_clutch_potential,combat_damage_per_round,combat_total_damage,combat_avg_damage_per_hit,combat_damage_consistency,combat_first_shot_damage,combat_kill_efficiency,combat_kill_area_diversity,combat_aggressive_kill_ratio,combat_kill_position_variance,combat_total_rounds,combat_ct_rounds,combat_t_rounds,combat_deaths_per_round,combat_total_deaths,combat_death_area_diversity,combat_death_bombsite_ratio,combat_death_position_variance,combat_damage_received_per_round,combat_total_damage_received,combat_ct_kills_per_round,combat_ct_total_kills,combat_ct_weapon_diversity,combat_ct_headshot_ratio,combat_ct_multi_kill_rounds,combat_ct_clutch_potential,combat_ct_kill_area_diversity,combat_ct_aggressive_kill_ratio,combat_ct_kill_position_variance,combat_ct_damage_per_round,combat_ct_total_damage,combat_ct_avg_damage_per_hit,combat_ct_damage_consistency,combat_ct_first_shot_damage,combat_ct_death_area_diversity,combat_ct_death_bombsite_ratio,combat_ct_death_position_variance,combat_ct_deaths_per_round,combat_ct_total_deaths,combat_ct_damage_received_per_round,combat_ct_total_damage_received,combat_t_kills_per_round,combat_t_total_kills,combat_t_weapon_diversity,combat_t_headshot_ratio,combat_t_multi_kill_rounds,combat_t_clutch_potential,combat_t_kill_area_diversity,combat_t_aggressive_kill_ratio,combat_t_kill_position_variance,combat_t_damage_per_round,combat_t_total_damage,combat_t_avg_damage_per_hit,combat_t_damage_consistency,combat_t_first_shot_damage,combat_t_death_area_diversity,combat_t_death_bombsite_ratio,combat_t_death_position_variance,combat_t_deaths_per_round,combat_t_total_deaths,combat_t_damage_received_per_round,combat_t_total_damage_received,utility_flashes_thrown_per_round,utility_enemies_flashed_per_round,utility_flash_assists_per_round,utility_flash_to_frag_rate,utility_smokes_thrown_per_round,utility_smoke_coverage_seconds_per_round,utility_kills_through_smoke_per_round,utility_molotovs_thrown_per_round,utility_area_denial_seconds_per_round,utility_he_damage_per_round,utility_utility_damage_per_grenade,positioning_ct_tsideupper,positioning_ct_tstairs
de_train,TeSeS,56.44736842105263,93.20841979980469,298.8124694824219,0.19546158611774445,34736.49609375,3141.171142578125,3.409090909090909,10412.082236842105,1135219.5,2961202216.694902,0.44357180725039524,0.14346436966037523,0.020145721028210578,0.00578943170675637,0.1269687117341553,0.008041398659141344,0.05660881926557728,0.003068304972624527,0.0595879838796699,0.0198126175831703,0.03185125758279497,0.024583972563535963,0.0013934045517882026,0.05511219956180476,0.06307061860329641,0.07211012122977412,0.035665859807358154,0.10441127728172112,0.03322017215230558,0.06571718409449294,0.014171931339955606,0.07355141970410695,0.002571236302642548,0.14557114590761627,0.1695308498136858,0.0047708486084187905,0.0050671434167311145,0.1175185560901138,0.08839629179514479,0.004655343852636019,802622759.6017141,1589177954.548236,0.618421052631579,47,10,0.6595744680851063,12,0.15789473684210525,85.03947368421052,6463,38.01764705882353,0.5006875032670149,40.5,0.7272164629429058,0.5625,0.425531914893617,895757.1875,76,40,36,0.5657894736842105,43,0.625,0.4186046511627907,1093965.875,89.01315789473684,6765,0.575,23,5,0.7391304347826086,8,0.2,0.3125,0.43478260869565216,518271.5625,81.35,3254,36.97727272727273,0.5256512578935083,35.30555555555556,0.5,0.47619047619047616,853603.375,0.525,21,72.975,2919,0.6666666666666666,24,6,0.5833333333333334,4,0.1111111111111111,0.5,0.4166666666666667,1211107.5,89.13888888888889,3209,39.13414634146341,0.4797695618111975,48.64705882352941,0.4375,0.36363636363636365,1194590.125,0.6111111111111112,22,106.83333333333333,3846,0.9868421052631579,0.02631578947368421,0.02631578947368421,0.02666666666666667,1.5526315789473684,9.365953947368421,0.07894736842105263,0.8947368421052632,1.0201480263157894,2.8026315789473686,2.697478991596639,0.0,0.0
de_train,mezii,40.9078947368421,94.7636489868164,299.1282043457031,0.2520749568939209,34991.6875,2715.242431640625,3.409090909090909,10402.192434210527,1122924.625,3215201609.019266,0.4218534997941002,0.1928226349145767,0.022659019917037455,0.002254853710715828,0.0965971294557215,0.0016572421481875798,0.044931349999497806,0.0041983467754085355,0.11370689914928236,0.026159316211845765,0.011113566284663982,0.004911463093719554,0.00021594367385474524,0.053975874571879114,0.036871267247486475,0.09346601171961134,0.11218079541349397,0.08516188358269176,0.05834940205585817,0.061291033887411035,0.01912764430181987,0.04321430749670415,0.0,0.16941828878661205,0.14710974116454842,0.01049979591549494,0.0,0.08307881415173565,0.07142019357532595,0.00881082070120621,857826953.735818,2355710868.07152,0.6842105263157895,52,10,0.4807692307692308,16,0.21052631578947367,90.63157894736842,6888,38.69662921348315,0.49842595025228664,43.98529411764706,0.7549361207897793,0.4375,0.4423076923076923,1015084.0625,76,36,40,0.6710526315789473,51,0.75,0.5490196078431373,1248876.625,94.9342105263158,7215,0.7222222222222222,26,7,0.34615384615384615,7,0.19444444444444445,0.375,0.5,874886.5,91.91666666666667,3309,39.392857142857146,0.5058926581494073,51.21052631578947,0.4375,0.6086956521739131,1120255.25,0.6388888888888888,23,90.27777777777777,3250,0.65,26,5,0.6153846153846154,9,0.225,0.375,0.38461538461538464,955126.75,89.475,3579,38.07446808510638,0.4905063154946229,38.142857142857146,0.625,0.5,1060931.0,0.7,28,99.125,3965,1.013157894736842,0.02631578947368421,0.02631578947368421,0.025974025974025976,1.368421052631579,6.608141447368421,0.11842105263157894,1.013157894736842,1.177528782894737,2.3289473684210527,1.873015873015873,0.002295029277944618,0.0006478310215642357
de_train,flameZ,45.14473684210526,81.86273193359375,290.6726989746094,0.23981358110904694,31378.9296875,2759.563232421875,3.409090909090909,9460.920230263158,731902.0,2881736725.8032947,0.04388678525154927,0.3048371382943463,0.16472484758394182,0.00023603145746914014,0.08879804746743268,0.0366853148257887,0.02313610477787933,0.09689342426403383,0.017009330775488888,0.016502114239225416,0.10298002269919548,0.0031738698110743953,0.0012554864758996815,0.0839719574540743,0.004264662416079044,0.12925821146908004,0.053057279717753474,0.0567401840044664,0.03708708074709004,0.04383829000642749,0.016955434512331866,0.0916738213533383,0.0,0.42746086034520775,0.0,0.01653788230657715,0.0,0.005118533218858347,0.10249264592042112,0.015515113982368975,1292446859.145195,1377580831.2605839,0.7105263157894737,54,10,0.5,16,0.21052631578947367,106.46052631578948,8091,28.793594306049823,0.508037407119656,28.904761904761905,0.6674082313681869,0.5625,0.4444444444444444,576492.1875,76,36,40,0.75,57,0.625,0.3508771929824561,846072.125,115.57894736842105,8784,0.7222222222222222,26,6,0.38461538461538464,8,0.2222222222222222,0.375,0.34615384615384615,691604.4375,105.66666666666667,3804,26.97872340425532,0.5434974968750954,29.979591836734695,0.5625,0.2692307692307692,909541.25,0.7222222222222222,26,105.58333333333333,3801,0.7,28,5,0.6071428571428571,8,0.2,0.3125,0.5357142857142857,449319.3125,107.175,4287,30.62142857142857,0.48679613609529604,37.18181818181818,0.5,0.41935483870967744,783742.9375,0.775,31,124.575,4983,1.2105263157894737,0.039473684210526314,0.039473684210526314,0.03260869565217391,1.3026315789473684,6.1879111842105265,0.039473684210526314,1.4342105263157894,2.064967105263158,4.328947368421052,2.6033519553072626,0.013378463887187008,0.002531060735413758
de_train,kyxsan,40.11842105263158,91.44619750976562,331.3886413574219,0.28213244676589966,34564.48046875,2892.648681640625,3.409090909090909,10357.825657894737,834391.9375,3099358275.3991504,0.08597822160293131,0.34154362951390355,0.12428511778256321,0.00942542001529461,0.07572238877394474,0.02531586182306108,0.028356017208780795,0.1182611061849334,0.0037016706779828008,0.018639718128803127,0.06726343790904868,0.002341107310916879,0.0012385818238117355,0.09423543376167622,0.031211393790866085,0.06638008095376796,0.09445778050078844,0.03648443698964475,0.13664212609101775,0.06024828500547392,0.03979389934011631,0.09746592609704409,0.0028574872191476754,0.2567168526460633,0.013940921828390065,0.011234092986350351,0.003023211433966433,0.009566806946355574,0.12006970460914194,0.01990699356186535,1252332087.1317854,1486357497.6754806,0.5,38,12,0.5789473684210527,12,0.15789473684210525,78.88157894736842,5995,26.179039301310045,0.44789970077858177,34.625,0.633861551292744,0.625,0.5263157894736842,1118679.375,76,40,36,0.6578947368421053,50,0.5,0.48,586355.625,94.9342105263158,7215,0.575,23,8,0.5652173913043478,8,0.2,0.4375,0.5652173913043478,1228518.375,82.375,3295,32.30392156862745,0.49759709939668995,37.717948717948715,0.4375,0.44,532143.1875,0.625,25,95.725,3829,0.4166666666666667,15,5,0.6,4,0.1111111111111111,0.4375,0.4666666666666667,857023.125,75.0,2700,21.25984251968504,0.4048445481781924,23.333333333333332,0.4375,0.52,637211.3125,0.6944444444444444,25,94.05555555555556,3386,1.2894736842105263,0.013157894736842105,0.013157894736842105,0.01020408163265306,1.7105263157894737,9.350740131578947,0.013157894736842105,1.4605263157894737,2.1158511513157894,4.092105263157895,2.768421052631579,0.0030917629617118704,0.000600524520635993
de_train,apEX,25.894736842105264,88.03311920166016,281.97491455078125,0.32232141494750977,32969.578125,2610.637939453125,3.409090909090909,9950.125,1146536.5,3188480820.5452037,0.16670349426995973,0.3472324056125267,0.0473217962496108,0.0,0.19901971615961753,0.02528549762461959,0.03556039894338258,0.0002259875656619427,0.012645259785261593,0.024155559796309876,0.020876229121259905,0.0,0.0,0.12097365487178972,0.04442473973361107,0.05865435591399363,0.11211980464186688,0.18300984766381886,0.04829061633520528,0.030120057988149023,0.015228926515503385,0.09390702191445341,0.0,0.11391199500813992,0.11847691968453697,0.006408722618662238,0.0,0.0554969105828372,0.10885914415872613,0.011090937240495995,915642987.5027764,1840781277.4107552,0.4473684210526316,34,7,0.38235294117647056,12,0.15789473684210525,68.5657894736842,5211,29.440677966101696,0.5130834617228645,29.9375,0.6524659374400307,0.5,0.5882352941176471,933822.375,76,36,40,0.7236842105263158,55,0.625,0.41818181818181815,1249803.0,110.8157894736842,8422,0.5555555555555556,20,5,0.4,7,0.19444444444444445,0.25,0.7,699008.125,95.63888888888889,3443,28.932773109243698,0.5219736266262898,29.17391304347826,0.375,0.64,990815.875,0.6944444444444444,25,119.91666666666667,4317,0.35,14,3,0.35714285714285715,4,0.1,0.4375,0.42857142857142855,848714.3125,44.2,1768,30.482758620689655,0.49655008008218304,35.15,0.625,0.23333333333333334,1381094.375,0.75,30,102.625,4105,1.4736842105263157,0.17105263157894737,0.17105263157894737,0.11607142857142858,1.394736842105263,6.8984375,0.09210526315789473,0.7631578947368421,0.7541118421052632,5.118421052631579,4.935779816513762,0.0,0.0
de_train,ZywOo,31.789473684210527,87.9381332397461,298.1015625,0.2795615494251251,32677.673828125,2505.683349609375,3.409090909090909,9873.613486842105,994224.0625,3290367227.347133,0.16810461717706376,0.340683788154234,0.04015547944517542,0.0,0.13656679690246376,0.06469772907606239,0.03922139750710606,0.0,0.019379689241987484,0.026159316211845765,0.055572853369223504,0.0,0.0,0.10945833291483784,0.011306750740099555,0.06957170403524328,0.27629288706854893,0.03024203953140321,0.07659502596799392,0.05085222874354319,0.018930597193486186,0.11614988716707249,0.0,0.17286661318245156,0.05042998493997101,0.0322969593754545,0.0,0.020108188245670826,0.07220369041084322,0.0021534433982181313,919009156.8256073,2129682607.0064,0.7368421052631579,56,11,0.5535714285714286,14,0.18421052631578946,105.9342105263158,8051,43.755434782608695,0.48072539626140415,55.71641791044776,0.6955657682275493,0.625,0.48214285714285715,933714.1875,76,36,40,0.6842105263157895,52,0.625,0.4230769230769231,846443.6875,103.25,7847,0.8888888888888888,32,9,0.625,8,0.2222222222222222,0.5,0.5625,759492.5625,128.97222222222223,4643,42.596330275229356,0.463034626110343,60.729729729729726,0.4375,0.5454545454545454,732064.1875,0.6111111111111112,22,91.19444444444444,3283,0.6,24,5,0.4583333333333333,7,0.175,0.5625,0.375,1029207.0,85.2,3408,45.44,0.5066202867188707,54.22857142857143,0.4375,0.3333333333333333,711452.9375,0.75,30,114.1,4564,0.9868421052631579,0.02631578947368421,0.02631578947368421,0.02666666666666667,1.3289473684210527,7.7006578947368425,0.039473684210526314,0.8552631578947368,0.9710115131578947,3.486842105263158,2.6901408450704225,0.0,0.0
de_train,ropz,49.96052631578947,86.44537353515625,287.56695556640625,0.2155039757490158,32693.29296875,2659.5751953125,3.409090909090909,9862.763980263158,815262.4375,3284130750.3234224,0.034219539387121724,0.05849562588511797,0.033260347719534365,0.0,0.5713769171278487,0.16075248837419523,0.026586181613651658,0.005242911523357071,0.017913281038136657,0.02552152908208873,0.010852425097676848,0.0019033174974639174,0.0,0.04787421029900666,0.007225060638901791,0.040286750458603686,0.44050350227777074,0.002308266126194598,0.12452908086907158,0.04894274843183343,0.03575466696692893,0.18912299961998058,0.003556231145641271,0.007647304442473973,0.0,0.0113302087291869,0.0012338902259942668,0.0,0.07206294247631916,0.0154963475910991,687882728.951785,1841365129.6946497,0.5394736842105263,41,9,0.5853658536585366,12,0.15789473684210525,86.8157894736842,6598,34.18652849740933,0.5074527412192567,32.18571428571428,0.6214004243710216,0.4375,0.36585365853658536,741032.375,76,36,40,0.6842105263157895,52,0.6875,0.36538461538461536,926112.9375,97.59210526315789,7417,0.6388888888888888,23,7,0.6521739130434783,6,0.16666666666666666,0.375,0.4782608695652174,663663.0625,100.52777777777777,3619,36.55555555555556,0.5190920448535546,35.27777777777778,0.5625,0.44,964908.125,0.6944444444444444,25,99.52777777777777,3583,0.45,18,2,0.5,6,0.15,0.375,0.2222222222222222,714546.3125,74.475,2979,31.69148936170213,0.49417042064498956,30.25,0.4375,0.2962962962962963,795006.375,0.675,27,95.85,3834,0.5394736842105263,0.0,0.0,0.0,1.2236842105263157,6.279605263157895,0.05263157894736842,1.144736842105263,1.7833059210526316,2.723684210526316,1.6818181818181819,0.006001225354800478,0.0
de_train,NiKo,42.60526315789474,87.98739624023438,309.83612060546875,0.23832298815250397,33648.28515625,2997.36083984375,3.409090909090909,10112.830592105263,991025.5625,3471004576.8563733,0.15062843952764993,0.43445134109323613,0.05028454540762948,0.0020361534527814137,0.11646891581866037,0.07543620130707915,0.03415952370898957,0.03468498266454607,0.010096318503192632,0.021313928884760282,0.02977757134747381,0.003110529352981745,0.00022050509742102867,0.032761427559383896,0.005649689141548567,0.05736066611090465,0.35467492944166007,0.004077820073722166,0.11266735634723743,0.0974207285839117,0.023211433966433312,0.145937747958579,0.013825417072607293,0.07381758283699769,0.016145556080069904,0.010194550184305415,0.004740716932997198,0.005413657684079427,0.07105551259001838,0.0038066349949278347,1659726510.344657,1826585128.2804353,0.8552631578947368,65,8,0.6307692307692307,15,0.19736842105263158,122.22368421052632,9289,41.84234234234234,0.5182571263106712,47.10526315789474,0.6997523953062763,0.6875,0.4153846153846154,1177729.375,76,40,36,0.6052631578947368,46,0.5625,0.4782608695652174,928224.6875,85.02631578947368,6462,0.725,29,5,0.6551724137931034,11,0.275,0.4375,0.5172413793103449,1344489.75,103.875,4155,39.95192307692308,0.5095543136780334,47.1219512195122,0.3125,0.7,683616.8125,0.5,20,70.45,2818,1.0,36,5,0.6111111111111112,9,0.25,0.4375,0.3333333333333333,1007348.0,142.61111111111111,5134,43.50847457627118,0.5249892296282925,44.54,0.5625,0.3076923076923077,1072106.25,0.7222222222222222,26,101.22222222222223,3644,1.1973684210526316,0.05263157894736842,0.05263157894736842,0.04395604395604396,1.2894736842105263,6.172697368421052,0.039473684210526314,1.144736842105263,1.6190378289473684,1.7236842105263157,1.19375,0.003973783351395985,0.0005958329228185243
de_train,m0NESY,45.671052631578945,98.93746185302734,398.83209228515625,0.23479890823364258,36427.0546875,2955.664306640625,3.409090909090909,11043.499177631578,961549.375,3493373801.602084,0.18395755042294754,0.3231525660694263,0.08348698316185543,0.0011259834761924868,0.13571854166373443,0.008444876071443652,0.036270742726850484,0.01445481287562105,0.020830694309561006,0.03840072813598127,0.017710781760944323,0.0012901893998038911,0.0034577075914744284,0.13169784233416373,0.03028233379870032,0.056175486877655355,0.1711378725028374,0.03839779837891586,0.15961752859998193,0.04819561483683698,0.021514016251016944,0.12543314283418538,0.0028574872191476754,0.14536524612556873,0.0808081315348071,0.023010556130289364,0.00042686540180589174,0.02350270682884204,0.06225204142100981,0.011023171258399205,1490270156.0508385,1832839346.7157974,0.881578947368421,67,10,0.3880597014925373,15,0.19736842105263158,122.71052631578948,9326,61.76158940397351,0.458303952116652,82.625,0.7184216169847738,0.75,0.417910447761194,1153882.375,76,40,36,0.6052631578947368,46,0.625,0.45652173913043476,858410.875,90.75,6897,1.0,40,8,0.425,11,0.275,0.5,0.55,922397.6875,147.7,5908,64.92307692307692,0.45987125912512195,87.64285714285714,0.5,0.5416666666666666,802738.75,0.6,24,83.8,3352,0.75,27,5,0.3333333333333333,5,0.1388888888888889,0.5625,0.2222222222222222,1408287.625,94.94444444444444,3418,56.96666666666667,0.4554365099202273,72.15625,0.5,0.36363636363636365,761994.5625,0.6111111111111112,22,98.47222222222223,3545,0.9868421052631579,0.039473684210526314,0.039473684210526314,0.04,1.263157894736842,6.264391447368421,0.10526315789473684,0.9605263157894737,1.2129934210526316,0.17105263157894737,0.17073170731707318,0.0,0.0
de_train,Magisk,37.88333333333333,87.55896759033203,437.9200134277344,0.2652188837528229,25473.08203125,2435.011474609375,2.6818181818181817,9892.06875,638605.5625,1358768218.2349617,0.026284060766819387,0.01659235848524183,0.036596565576756335,0.0,0.566105208071459,0.13749493353308467,0.07223883966363791,0.0,0.0,0.04764787670143503,0.003027053650678009,0.0,0.0,0.08132000061567193,0.011138576093258874,0.046057249229454665,0.4151255760017089,0.01058164728859593,0.11748909029875797,0.07125637035002594,0.02283408099118069,0.16255454850621015,0.0,0.022864597638011536,0.021735481705270225,0.011878604778906893,0.0,0.0077130824864963836,0.05975922365650462,0.0190118709756172,1054963991.0814615,1723333290.819162,0.5666666666666667,34,12,0.5,9,0.15,92.65,5559,31.05586592178771,0.49248235887901554,33.492537313432834,0.6116207951070336,0.375,0.35294117647058826,752527.5,60,36,24,0.7,42,0.5625,0.30952380952380953,901153.0625,95.71666666666667,5743,0.7222222222222222,26,8,0.6153846153846154,7,0.19444444444444445,0.375,0.38461538461538464,809649.875,110.86111111111111,3991,33.53781512605042,0.4927635759272789,33.04545454545455,0.4375,0.3157894736842105,738395.4375,0.5277777777777778,19,75.97222222222223,2735,0.3333333333333333,8,5,0.125,2,0.08333333333333333,0.25,0.25,474306.4375,65.33333333333333,1568,26.133333333333333,0.5025041101462427,34.34782608695652,0.5,0.30434782608695654,964662.25,0.9583333333333334,23,125.33333333333333,3008,0.6666666666666666,0.016666666666666666,0.016666666666666666,0.025,1.1333333333333333,5.8640625,0.05,1.05,1.2296875,4.766666666666667,3.048780487804878,0.012693102935215922,0.0
